make,mileage,price
Toyota 4Runner,"27,291 miles","$45,499"
Ford Bronco Sport,146 miles,"$40,990"
Mazda CX-9,"48,812 milesUpfront Price Available","$27,995"
Chevrolet Equinox,"32,229 milesDiscount Available","$20,970"
Nissan Sentra,"92,244 miles","$12,990"
Ford Fusion,"101,653 miles","$10,932"
Ford F-150,"145,609 miles","$28,000"
Honda Civic,"101,565 milesUpfront Price Available","$8,999"
Toyota Camry,"218,751 miles","$8,800"
Ford F-150,"139,980 miles","$29,995"
Lexus ES,"171,341 miles","$13,900"
Toyota Corolla,"24,882 milesDiscount Available","$19,991"
Volkswagen Jetta,"64,894 milesDiscount Available","$21,821"
Toyota Corolla,"32,284 miles","$14,995"
Ford F-150,"216,301 miles","$17,990"
Dodge Grand Caravan,"174,098 milesUpfront Price Available","$12,999"
Ford F-150,"93,001 milesUpfront Price Available","$36,999"
Ford Edge,"121,845 milesDiscount Available","$18,900"
Ford F-150,"60,476 milesDiscount Available","$41,997"
Ford Escape,"49,542 milesDiscount Available","$15,998"
Nissan Altima,"15,383 miles","$12,930"
Chevrolet Equinox,"15,230 miles","$22,800"
Ford F-150,"70,608 miles","$34,400"
Chevrolet Malibu,"43,840 miles","$21,300"
Ford F-150,"115,565 miles","$27,825"
Toyota Camry,"35,816 milesDiscount Available","$19,500"
Kia Optima,"99,623 miles","$12,495"
Ford Fusion,"109,661 miles","$17,999"
Nissan Rogue,"133,471 milesDiscount Available","$13,999"
Chevrolet Malibu,"51,873 miles","$22,097"
Honda CR-V,"95,338 miles","$24,695"
Honda Civic,"90,282 milesUpfront Price Available","$10,499"
Chevrolet Equinox,"54,588 miles","$20,500"
Lexus ES,"95,570 miles","$13,500"
Toyota Corolla,"64,923 miles","$17,680"
Nissan Altima,"80,125 miles","$13,500"
Nissan Sentra,"48,422 miles","$17,995"
Chevrolet Cruze,"79,390 miles","$10,500"
Hyundai Elantra,"78,265 milesUpfront Price Available","$9,999"
Nissan Frontier,"125,710 miles","$17,788"
Nissan Altima,"131,683 miles","$9,199"
Nissan Sentra,"56,415 miles","$17,470"
Ford Fusion,"107,830 miles","$9,995"
Ford F-150,"208,155 milesDiscount Available","$19,632"
Chevrolet Equinox,"26,953 milesUpfront Price Available","$22,295"
Ford Escape,"87,013 miles","$15,631"
Ford Fusion,"64,880 miles","$19,949"
Chevrolet Malibu,"48,180 milesDiscount Available","$19,800"
GMC Savana Cargo Van,"25,404 milesUpfront Price Available","$34,672"
Ford F-150,"196,709 miles","$20,489"
Ford Escape,"61,336 milesDiscount Available","$17,805"
Ford F-150,56 miles,"$48,829"
Ford F-150,"121,374 miles","$28,733"
Jeep Compass,"110,055 milesDiscount Available","$15,632"
Nissan Sentra,"14,691 miles","$15,791"
Chevrolet Malibu,"60,557 miles","$21,500"
Ford F-150,"129,900 miles","$30,525"
Toyota Corolla,"133,715 miles","$8,500"
Toyota Camry,"167,800 miles","$8,995"
Ford Super Duty F-250,"79,251 miles","$44,376"
Ford Edge,"51,513 milesDiscount Available","$22,374"
Nissan Sentra,"55,170 miles","$14,900"
Toyota Corolla,"68,011 miles","$18,800"
Toyota Corolla,"58,560 miles","$19,500"
Toyota Corolla,"48,602 miles","$19,999"
Ford F-150,"9,536 miles","$44,939"
Toyota Camry,"15,591 miles","$20,499"
Chevrolet Equinox,"83,819 miles","$17,598"
Ford F-150,"29,916 miles","$37,962"
Jeep Compass,"92,499 milesDiscount Available","$17,952"
Dodge Grand Caravan,"126,074 milesDiscount Available","$15,995"
Jeep Grand Cherokee,"67,877 milesUpfront Price Available","$33,464"
Ford Fusion,"43,006 miles","$14,991"
Kia Forte,"108,245 milesUpfront Price Available","$9,500"
Chevrolet Malibu,"60,527 miles","$20,853"
Mercedes-Benz C-Class,"46,136 milesUpfront Price Available","$29,997"
Ford Escape,"121,590 miles","$14,500"
Ford F-150,"146,378 miles","$23,495"
Jeep Compass,"53,071 miles","$19,990"
Ford F-150,"47,340 miles","$36,999"
Jeep Cherokee,"20,798 miles","$24,600"
Jeep Wrangler,"100,778 miles","$20,995"
Ford Escape,"102,915 miles","$9,599"
Nissan Sentra,"123,831 miles","$12,999"
Toyota Corolla,"36,743 milesDiscount Available","$16,995"
Ford F-150,"120,532 miles","$24,900"
Ford F-150,"64,025 miles","$20,977"
Toyota Camry,"14,870 milesUpfront Price Available","$18,500"
Hyundai Sonata,"108,389 miles","$11,895"
Ford F-150,"69,197 miles","$39,120"
Nissan Rogue,"71,089 milesDiscount Available","$19,999"
Ford Fusion,"71,383 miles","$14,950"
Ford F-150,"14,256 miles","$40,000"
Ford F-150,"102,174 miles","$31,990"
Ford F-150,"109,520 milesDiscount Available","$13,998"
Jeep Grand Cherokee,"64,901 miles","$29,910"
Ford Fusion,"137,714 miles","$8,494"
Volkswagen Tiguan,"33,118 miles","$25,986"
Chevrolet Equinox,"32,159 miles","$21,500"
Volkswagen Jetta,"61,608 miles","$20,398"
Nissan Frontier,"108,500 miles","$18,991"
Ford Super Duty F-250,"81,856 milesDiscount Available","$52,451"
Toyota Camry,"65,169 miles","$21,000"
Jeep Wrangler,"31,459 miles","$41,995"
Ford Super Duty F-250,"139,118 miles","$32,667"
Nissan Sentra,"81,453 miles","$12,495"
Chevrolet Equinox,"96,467 milesDiscount Available","$19,500"
Ford F-150,"16,892 milesUpfront Price Available","$46,989"
Chevrolet Traverse,"51,447 miles","$28,500"
Ford F-150,"58,903 miles","$31,498"
Toyota Corolla,"141,991 milesDiscount Available","$12,999"
Chevrolet Equinox,"112,956 miles","$15,998"
Chevrolet Malibu,"53,637 miles","$18,450"
Jeep Grand Cherokee,"115,806 miles","$20,594"
Ford Flex,"120,307 miles","$22,704"
Chrysler Pacifica,"57,057 milesUpfront Price Available","$24,500"
Chevrolet Cruze,"191,595 milesUpfront Price Available","$9,281"
Toyota Corolla,"64,315 miles","$14,277"
Nissan Rogue,"157,155 milesDiscount Available","$15,999"
Kia Forte,"102,365 miles","$9,900"
Ford Edge,"86,710 miles","$21,850"
Ford F-150,"94,659 milesUpfront Price Available","$30,816"
Ford F-150,"53,040 miles","$21,977"
Chevrolet Cruze,"128,771 miles","$8,499"
Ford F-150,"201,196 miles","$18,091"
Mercedes-Benz GLE,"35,179 miles","$34,950"
Chevrolet Equinox,"87,546 milesDiscount Available","$18,237"
Nissan Altima,"82,344 milesDiscount Available","$16,999"
Chevrolet Malibu,"60,420 miles","$21,500"
Honda CR-V,"108,974 miles","$21,988"
Ford F-150,"39,417 miles","$38,220"
Nissan Altima,"43,594 miles","$23,000"
